SMILES,Comp1,Act1,Assay1,Type1,Comp2,Act2,Assay2,Type2,log(ActRatio)
CCc1c(c(nc(n1)N)N)c2ccc3c(c2)N(C(=O)C(O3)(C)c4cc(cc(c4)F)F)CCC(=O)NC,CHEMBL240598,6,CHEMBL898576,ic50,CHEMBL398584,1,CHEMBL898576,ic50,0.7781512504
CCc1c(c(nc(n1)N)N)c2ccc3c(c2)N(C(=O)C(O3)(C)c4cc(cc(c4)F)F)CCNC(=O)C,CHEMBL398584,1,CHEMBL898576,ic50,CHEMBL240598,6,CHEMBL898576,ic50,-0.77815125
CCc1c(c(nc(n1)N)N)c2ccc3c(c2)N(C(=O)C(O3)(C)c4cc(cc(c4)F)F)CCNC(=O)C,CHEMBL398584,1,CHEMBL898576,ic50,CHEMBL240598,6,CHEMBL898576,ic50,-0.77815125
CCc1c(c(nc(n1)N)N)c2ccc3c(c2)N(C(=O)C(O3)(C)c4cc(cc(c4)F)F)CCNC(=O)C,CHEMBL398584,860,CHEMBL898579,ic50,CHEMBL240598,160,CHEMBL898579,ic50,0.7303784686
CCc1c(c(nc(n1)N)N)c2ccc3c(c2)N(C(=O)C(O3)(C)c4cc(cc(c4)F)F)CCNC(=O)C,CHEMBL398584,860,CHEMBL898579,ic50,CHEMBL240598,160,CHEMBL898579,ic50,0.7303784686
CCn1c2ccccc2c3c1ccc(c3)CC(=O)NCc4ccncc4,CHEMBL115911,2250,CHEMBL755166,ic50,CHEMBL117626,3400,CHEMBL755166,ic50,-0.179296399
CCn1c2ccccc2c3c1ccc(c3)CNC(=O)Cc4ccncc4,CHEMBL117626,3400,CHEMBL755166,ic50,CHEMBL115911,2250,CHEMBL755166,ic50,0.1792963989
CNC(=O)CCCCc1cccc2c1OCCO2,CHEMBL342649,50.12,CHEMBL856174,ic50,CHEMBL136214,158.49,CHEMBL856174,ic50,-0.499990803
CNC(=O)CCCc1cccc2c1OCCO2,CHEMBL138053,15.85,CHEMBL856174,ic50,CHEMBL137948,125.89,CHEMBL856174,ic50,-0.899961967
CNC(=O)CCCc1cccc2c1SCCO2,CHEMBL341761,10,CHEMBL856174,ic50,CHEMBL444857,158.49,CHEMBL856174,ic50,-1.200001865
CNC(=O)CCc1c(nc2n1cc(cc2)OC)c3ccccc3,CHEMBL1823016,1100,CHEMBL1827743,ki,CHEMBL1823017,28,CHEMBL1827743,ki,1.5942346538
CNC(=O)CCc1c(nc2n1cc(cc2)OC)c3ccccc3,CHEMBL1823016,58.8,CHEMBL1827744,ki,CHEMBL1823017,8,CHEMBL1827744,ki,0.8662873391
CNC(=O)CCn1c2c(ccc(n2)NCc3cccc(c3)C(F)(F)F)nc(c1=O)c4ccc(cc4)OC,CHEMBL493139,120,CHEMBL1010955,ic50,CHEMBL494032,47,CHEMBL1010955,ic50,0.4070833881
CNC(=O)CCn1c2c(ccc(n2)NCc3cccc(c3)C(F)(F)F)nc(c1=O)c4ccc(cc4)OC,CHEMBL493139,360,CHEMBL1010954,ic50,CHEMBL494032,206,CHEMBL1010954,ic50,0.2424352804
C[C@@H](c1ccc(cc1)c2ccc(cc2F)F)N3CC[C@](OC3=O)(CCC(=O)NC)c4ccc(cc4)F,CHEMBL1829778,145,CHEMBL1831797,ic50,CHEMBL1829771,34,CHEMBL1831797,ic50,0.6298890852
C[C@@H](c1ccc(cc1)c2ccc(cc2F)F)N3CC[C@](OC3=O)(CCC(=O)NC)c4ccc(cc4)F,CHEMBL1829778,22,CHEMBL1831796,ic50,CHEMBL1829771,7.1,CHEMBL1831796,ic50,0.4911643321
C[C@@H](c1ccc(cc1)c2ccc(cc2F)F)N3CC[C@](OC3=O)(CCNC(=O)C)c4ccc(cc4)F,CHEMBL1829771,34,CHEMBL1831797,ic50,CHEMBL1829778,145,CHEMBL1831797,ic50,-0.629889085
C[C@@H](c1ccc(cc1)c2ccc(cc2F)F)N3CC[C@](OC3=O)(CCNC(=O)C)c4ccc(cc4)F,CHEMBL1829771,7.1,CHEMBL1831796,ic50,CHEMBL1829778,22,CHEMBL1831796,ic50,-0.491164332
C[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCc2ccccc2)NC(=O)[C@H](Cc3ccc(cc3)O)N,CHEMBL348764,2.97,CHEMBL689695,ic50,CHEMBL351202,2.12,CHEMBL689695,ic50,0.1464205884
C[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)NCNC(=O)Cc2ccccc2)NC(=O)[C@H](Cc3ccc(cc3)O)N,CHEMBL351202,2.12,CHEMBL689695,ic50,CHEMBL348764,2.97,CHEMBL689695,ic50,-0.146420588
C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)O[C@H]2CCC(=O)NC[C@@H]2c3ccc(cc3)F,CHEMBL380680,0.14,CHEMBL871229,ic50,CHEMBL379816,0.64,CHEMBL871229,ic50,-0.660051938
C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)O[C@H]2CCNC(=O)C[C@@H]2c3ccc(cc3)F,CHEMBL379816,0.64,CHEMBL871229,ic50,CHEMBL380680,0.14,CHEMBL871229,ic50,0.6600519383
C[C@H]1C(=O)N[C@H](C(=O)NC(CC(=O)NCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(=O)N)Cc2ccccc2)Cc3ccccc3)CCCN=C(N)N)NC(=O)[C@H](Cc4ccc(cc4)O)N)C(=O)N[C@@H](Cc5ccc(cc5)O)C(=O)N)Cc6ccccc6,CHEMBL440242,1445.44,CHEMBL715255,kd,CHEMBL386729,104.71,CHEMBL715255,kd,1.1400119093
C[C@H]1C(=O)N[C@H](C(=O)NC(CNC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(=O)N)Cc2ccccc2)Cc3ccccc3)CCCN=C(N)N)NC(=O)[C@H](Cc4ccc(cc4)O)N)C(=O)N[C@@H](Cc5ccc(cc5)O)C(=O)N)Cc6ccccc6,CHEMBL386729,104.71,CHEMBL715255,kd,CHEMBL440242,1445.44,CHEMBL715255,kd,-1.140011909
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CC(=O)NC)C5CC5)Cl,CHEMBL1269688,0.11,CHEMBL1275121,ic50,CHEMBL1269687,0.16,CHEMBL1275121,ic50,-0.162727297
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CC(=O)NC)C5CC5)Cl,CHEMBL1269688,3.4,CHEMBL1275122,ic50,CHEMBL1269687,4.1,CHEMBL1275122,ic50,-0.08130494
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CCC(=O)NC)C5CC5)Cl,CHEMBL1269683,0.11,CHEMBL1275121,ic50,CHEMBL1269682,0.18,CHEMBL1275121,ic50,-0.21387982
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CCC(=O)NC)C5CC5)Cl,CHEMBL1269683,1.9,CHEMBL1275122,ic50,CHEMBL1269682,1.4,CHEMBL1275122,ic50,0.1326255653
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CCC(=O)NC)C5CC5)Cl,CHEMBL1269683,2900,CHEMBL1275129,ic50,CHEMBL1269682,2400,CHEMBL1275129,ic50,0.0821867562
